account_id,customer_id,account_type,status,opening_date,current_balance
ACC-C009006439,C009006439,SALARY,ACTIVE,2024-07-09,37748.29
ACC-C009006576,C009006576,SAVINGS,ACTIVE,2023-01-26,219170.32
ACC-C009006713,C009006713,SALARY,ACTIVE,2015-02-15,278701.84
ACC-C009006850,C009006850,SAVINGS,ACTIVE,2021-08-28,137622.25
ACC-C009006987,C009006987,SAVINGS,ACTIVE,2021-03-24,225035.7
ACC-C009007124,C009007124,SAVINGS,ACTIVE,2019-10-06,161855.13
ACC-C009007261,C009007261,CURRENT,ACTIVE,2019-05-25,1115811.3
ACC-C009007398,C009007398,SALARY,ACTIVE,2022-10-13,79921.72
ACC-C009007535,C009007535,CURRENT,ACTIVE,2015-06-28,959486.5
ACC-C009007672,C009007672,CURRENT,ACTIVE,2018-10-02,122471.09
ACC-C009007809,C009007809,SAVINGS,ACTIVE,2017-10-24,117469.32
ACC-C009007946,C009007946,SAVINGS,ACTIVE,2019-11-02,101941.99
ACC-C009008083,C009008083,SALARY,ACTIVE,2017-09-12,673911.5
ACC-C009008220,C009008220,CURRENT,ACTIVE,2022-12-12,124040.16
ACC-C009008357,C009008357,SALARY,ACTIVE,2021-03-24,1270441.88
ACC-C009008494,C009008494,CURRENT,ACTIVE,2021-02-21,70455.6
ACC-C009008631,C009008631,CURRENT,ACTIVE,2016-11-07,659734.56
ACC-C009008768,C009008768,SAVINGS,ACTIVE,2022-07-28,303112.51
ACC-C009008905,C009008905,CURRENT,ACTIVE,2018-10-09,54760.32
ACC-C009009042,C009009042,SALARY,ACTIVE,2016-07-20,269401.92
ACC-C009009179,C009009179,SALARY,ACTIVE,2023-06-28,602438.6
ACC-C009009316,C009009316,SALARY,ACTIVE,2017-10-10,1243698.39
ACC-C009009453,C009009453,SAVINGS,ACTIVE,2023-09-11,96785.92
ACC-C009009590,C009009590,SALARY,ACTIVE,2017-06-28,267383.76
ACC-C009009727,C009009727,SALARY,ACTIVE,2020-08-17,43369.17
ACC-C009009864,C009009864,SALARY,ACTIVE,2021-01-20,115903.8
ACC-C009010001,C009010001,SAVINGS,ACTIVE,2018-11-07,697007.85
ACC-C009010138,C009010138,CURRENT,ACTIVE,2021-05-02,748317.39
ACC-C009010275,C009010275,CURRENT,ACTIVE,2019-06-24,374068.38
ACC-C009010412,C009010412,CURRENT,ACTIVE,2022-03-19,284944.44
ACC-C009010549,C009010549,SALARY,ACTIVE,2021-02-07,411876.09
ACC-C009010686,C009010686,SAVINGS,ACTIVE,2021-05-15,341790.28
ACC-C009010823,C009010823,SALARY,ACTIVE,2024-04-23,15644.25
ACC-C009010960,C009010960,SALARY,ACTIVE,2023-05-21,96675.42
ACC-C009011097,C009011097,CURRENT,ACTIVE,2022-06-12,394814.84
ACC-C009011234,C009011234,SALARY,ACTIVE,2023-09-19,172062.86
ACC-C009011371,C009011371,SAVINGS,ACTIVE,2022-06-22,950229.58
ACC-C009011508,C009011508,SAVINGS,ACTIVE,2016-07-26,341407.2
ACC-C009011645,C009011645,SALARY,ACTIVE,2017-02-15,35405.4
ACC-C009011782,C009011782,SALARY,ACTIVE,2016-01-21,481550.16
ACC-C009011919,C009011919,CURRENT,ACTIVE,2016-02-11,899384.38
ACC-C009012056,C009012056,SALARY,ACTIVE,2021-12-18,78453.6
ACC-C009012193,C009012193,SAVINGS,ACTIVE,2018-10-25,932700.96
ACC-C009012330,C009012330,SALARY,ACTIVE,2017-01-28,240359.04
ACC-C009012467,C009012467,SAVINGS,ACTIVE,2017-08-17,2782838.87
ACC-C009012604,C009012604,SAVINGS,ACTIVE,2020-08-22,79960.64
ACC-C009012741,C009012741,SAVINGS,ACTIVE,2021-04-23,92453.52
ACC-C009012878,C009012878,CURRENT,ACTIVE,2017-01-02,1033497.32
ACC-C009013015,C009013015,SALARY,ACTIVE,2022-04-15,18021.6
ACC-C009013152,C009013152,CURRENT,ACTIVE,2023-06-04,728690.6
ACC-C009013289,C009013289,SALARY,ACTIVE,2016-10-11,246455.79
ACC-C009013426,C009013426,SALARY,ACTIVE,2017-05-14,52326.44
ACC-C009013563,C009013563,SALARY,ACTIVE,2024-04-26,336001.5
ACC-C009013700,C009013700,SALARY,ACTIVE,2016-08-02,295813.18
ACC-C009013837,C009013837,CURRENT,ACTIVE,2023-10-20,635987.97
ACC-C009013974,C009013974,CURRENT,ACTIVE,2021-07-08,100708.71
ACC-C009014111,C009014111,CURRENT,ACTIVE,2017-03-16,324771.15
ACC-C009014248,C009014248,SALARY,ACTIVE,2015-07-06,211242.87
ACC-C009014385,C009014385,SALARY,ACTIVE,2020-09-26,43870.03
ACC-C009014522,C009014522,SALARY,ACTIVE,2023-07-21,101106.24
ACC-C009014659,C009014659,SAVINGS,ACTIVE,2020-11-24,147037.62
ACC-C009014796,C009014796,SALARY,ACTIVE,2022-07-03,101511.04
ACC-C009014933,C009014933,SALARY,ACTIVE,2016-01-20,2075856.39
ACC-C009015070,C009015070,SAVINGS,ACTIVE,2024-05-19,527848.86
ACC-C009015207,C009015207,SALARY,ACTIVE,2022-04-23,586474.2
ACC-C009015344,C009015344,SAVINGS,ACTIVE,2023-05-01,3986941.4
ACC-C009015481,C009015481,SAVINGS,ACTIVE,2019-06-03,109799.36
ACC-C009015618,C009015618,SALARY,ACTIVE,2024-06-08,794828.25
ACC-C009015755,C009015755,CURRENT,ACTIVE,2023-07-24,258314
ACC-C009015892,C009015892,SALARY,ACTIVE,2015-03-03,1440679.31
ACC-C009016029,C009016029,SAVINGS,ACTIVE,2016-06-28,284509.16
ACC-C009016166,C009016166,CURRENT,ACTIVE,2015-12-18,183073.5
ACC-C009016303,C009016303,SAVINGS,ACTIVE,2020-11-05,528882.9
ACC-C009016440,C009016440,SAVINGS,ACTIVE,2023-03-23,76470.24
ACC-C009016577,C009016577,CURRENT,ACTIVE,2023-12-20,2382458.32
ACC-C009016714,C009016714,SALARY,ACTIVE,2024-07-22,542037.18
ACC-C009016851,C009016851,CURRENT,ACTIVE,2016-06-18,103502.97
ACC-C009016988,C009016988,SAVINGS,ACTIVE,2018-02-22,999608.48
ACC-C009017125,C009017125,SALARY,ACTIVE,2021-07-20,792506.7
ACC-C009017262,C009017262,SAVINGS,ACTIVE,2020-03-02,828979.92
ACC-C009017399,C009017399,SAVINGS,ACTIVE,2016-12-21,78681.96
ACC-C009017536,C009017536,SAVINGS,ACTIVE,2020-06-18,694867.5
ACC-C009017673,C009017673,SALARY,ACTIVE,2020-06-14,1782575.97
ACC-C009017810,C009017810,SAVINGS,ACTIVE,2020-12-18,2393639.36
ACC-C009017947,C009017947,SALARY,ACTIVE,2017-06-28,106955.2
ACC-C009018084,C009018084,SAVINGS,ACTIVE,2024-02-22,189326.5
ACC-C009018221,C009018221,CURRENT,ACTIVE,2021-09-22,369077.14
ACC-C009018358,C009018358,SAVINGS,ACTIVE,2018-08-14,110404.77
ACC-C009018495,C009018495,SAVINGS,ACTIVE,2021-08-14,252138.6
ACC-C009018632,C009018632,CURRENT,ACTIVE,2015-08-06,42948.48
ACC-C009018769,C009018769,SALARY,ACTIVE,2016-11-15,303909.63
ACC-C009018906,C009018906,SALARY,ACTIVE,2017-08-19,956364.15
ACC-C009019043,C009019043,CURRENT,ACTIVE,2023-07-11,19079.97
ACC-C009019180,C009019180,CURRENT,ACTIVE,2022-03-23,438349.32
ACC-C009019317,C009019317,SALARY,ACTIVE,2016-03-08,1029740.01
ACC-C009019454,C009019454,SALARY,ACTIVE,2020-11-02,217910
ACC-C009019591,C009019591,SAVINGS,ACTIVE,2023-11-26,484864.64
ACC-C009019728,C009019728,CURRENT,ACTIVE,2022-04-11,149180.8
ACC-C009019865,C009019865,SAVINGS,ACTIVE,2016-05-25,635415.36
ACC-C009020002,C009020002,CURRENT,ACTIVE,2019-09-07,165475.56
ACC-C009020139,C009020139,SALARY,ACTIVE,2023-07-17,40026.78
ACC-C009020276,C009020276,SALARY,ACTIVE,2015-03-05,192666.06
ACC-C009020413,C009020413,CURRENT,ACTIVE,2022-07-08,165135.4
ACC-C009020550,C009020550,SAVINGS,ACTIVE,2015-06-21,274457.69
ACC-C009020687,C009020687,SAVINGS,ACTIVE,2021-12-10,12594
ACC-C009020824,C009020824,SALARY,ACTIVE,2023-05-26,502192.8
ACC-C009020961,C009020961,SAVINGS,ACTIVE,2024-09-22,582048.48
ACC-C009021098,C009021098,SAVINGS,ACTIVE,2023-12-25,279237.34
ACC-C009021235,C009021235,CURRENT,ACTIVE,2016-04-25,163133.82
ACC-C009021372,C009021372,CURRENT,ACTIVE,2015-12-16,39399.36
ACC-C009021509,C009021509,SAVINGS,ACTIVE,2017-11-12,833316.66
ACC-C009021646,C009021646,SAVINGS,ACTIVE,2018-03-13,76009.89
ACC-C009021783,C009021783,CURRENT,ACTIVE,2015-05-04,54347.76
ACC-C009021920,C009021920,SALARY,ACTIVE,2023-08-17,136931.5
ACC-C009022057,C009022057,CURRENT,ACTIVE,2016-12-09,252096.17
ACC-C009022194,C009022194,SALARY,ACTIVE,2019-12-01,1188907.59
ACC-C009022331,C009022331,CURRENT,ACTIVE,2020-01-26,360124.8
ACC-C009022468,C009022468,CURRENT,ACTIVE,2022-10-10,201719.65
ACC-C009022605,C009022605,SALARY,ACTIVE,2019-01-05,263543.06
ACC-C009022742,C009022742,CURRENT,ACTIVE,2016-11-14,146962.76
ACC-C009022879,C009022879,CURRENT,ACTIVE,2023-09-15,3694332.32
ACC-C009023016,C009023016,CURRENT,ACTIVE,2018-08-20,189103.78
ACC-C009023153,C009023153,SALARY,ACTIVE,2015-12-10,178566.75
ACC-C009023290,C009023290,SAVINGS,ACTIVE,2020-06-28,123015.2
ACC-C009023427,C009023427,CURRENT,ACTIVE,2015-10-02,44711.85
ACC-C009023564,C009023564,CURRENT,ACTIVE,2015-10-01,83752.24
ACC-C009023701,C009023701,SAVINGS,ACTIVE,2019-07-15,507824.28
ACC-C009023838,C009023838,SALARY,ACTIVE,2024-11-16,10376.19
ACC-C009023975,C009023975,SALARY,ACTIVE,2024-09-04,287803.18
ACC-C009024112,C009024112,SAVINGS,ACTIVE,2024-03-15,81554.66
ACC-C009024249,C009024249,CURRENT,ACTIVE,2019-09-05,69411
ACC-C009024386,C009024386,SAVINGS,ACTIVE,2018-08-25,4007398.37
ACC-C009024523,C009024523,SALARY,ACTIVE,2018-01-02,78034
ACC-C009024660,C009024660,SALARY,ACTIVE,2015-05-14,1595829.18
ACC-C009024797,C009024797,CURRENT,ACTIVE,2020-09-05,103836.16
ACC-C009024934,C009024934,CURRENT,ACTIVE,2019-12-01,50552.6
ACC-C009025071,C009025071,SAVINGS,ACTIVE,2016-08-27,665523.81
ACC-C009025208,C009025208,SAVINGS,ACTIVE,2021-07-03,478714.32
ACC-C009025345,C009025345,SALARY,ACTIVE,2016-01-02,349813.2
ACC-C009025482,C009025482,SALARY,ACTIVE,2016-09-25,114330.18
ACC-C009025619,C009025619,SAVINGS,ACTIVE,2019-11-20,121808.81
ACC-C009025756,C009025756,CURRENT,ACTIVE,2022-01-21,2292871
ACC-C009025893,C009025893,SALARY,ACTIVE,2021-05-20,506859.65
ACC-C009026030,C009026030,SAVINGS,ACTIVE,2019-05-21,313379.27
ACC-C009026167,C009026167,SALARY,ACTIVE,2021-11-08,63420.44
ACC-C009026304,C009026304,CURRENT,ACTIVE,2019-09-07,204939.84
ACC-C009026441,C009026441,SAVINGS,ACTIVE,2015-02-08,145874.52
ACC-C009026578,C009026578,SALARY,ACTIVE,2017-08-17,303625.7
ACC-C009026715,C009026715,SAVINGS,ACTIVE,2021-07-02,143173.1
ACC-C009026852,C009026852,SALARY,ACTIVE,2017-05-01,1063412.82
ACC-C009026989,C009026989,SALARY,ACTIVE,2017-03-28,84443.84
ACC-C009027126,C009027126,SAVINGS,ACTIVE,2021-12-03,42359.74
ACC-C009027263,C009027263,SALARY,ACTIVE,2019-11-18,1204912.64
ACC-C009027400,C009027400,SALARY,ACTIVE,2023-05-03,92826.32
ACC-C009027537,C009027537,SALARY,ACTIVE,2016-06-18,2562994.67
ACC-C009027674,C009027674,SAVINGS,ACTIVE,2024-04-01,1096865
ACC-C009027811,C009027811,SALARY,ACTIVE,2022-04-23,27170.37
ACC-C009027948,C009027948,CURRENT,ACTIVE,2020-10-12,79896.69
ACC-C009028085,C009028085,SALARY,ACTIVE,2017-12-02,85082.48
ACC-C009028222,C009028222,SAVINGS,ACTIVE,2022-08-11,32053.12
ACC-C009028359,C009028359,SALARY,ACTIVE,2023-07-10,796125.88
ACC-C009028496,C009028496,CURRENT,ACTIVE,2016-02-09,1597332.3
ACC-C009028633,C009028633,SAVINGS,ACTIVE,2017-04-18,149609.68
ACC-C009028770,C009028770,CURRENT,ACTIVE,2022-01-18,525268
ACC-C009028907,C009028907,SAVINGS,ACTIVE,2024-03-26,239655.5
ACC-C009029044,C009029044,SAVINGS,ACTIVE,2015-12-07,692693.1
ACC-C009029181,C009029181,CURRENT,ACTIVE,2022-12-08,192746.75
ACC-C009029318,C009029318,SAVINGS,ACTIVE,2024-07-19,569754
ACC-C009029455,C009029455,CURRENT,ACTIVE,2017-11-18,1521454.64
ACC-C009029592,C009029592,SAVINGS,ACTIVE,2017-09-09,465249.4
ACC-C009029729,C009029729,SAVINGS,ACTIVE,2020-12-16,569139.12
ACC-C009029866,C009029866,CURRENT,ACTIVE,2021-01-11,394015
ACC-C009030003,C009030003,SALARY,ACTIVE,2023-07-03,187103.07
ACC-C009030140,C009030140,SALARY,ACTIVE,2022-01-18,823972.95
ACC-C009030277,C009030277,SALARY,ACTIVE,2020-10-26,226607.94
ACC-C009030414,C009030414,SALARY,ACTIVE,2018-08-07,293044.63
ACC-C009030551,C009030551,CURRENT,ACTIVE,2023-10-03,231889.5
ACC-C009030688,C009030688,CURRENT,ACTIVE,2018-08-07,26417.5
ACC-C009030825,C009030825,CURRENT,ACTIVE,2019-12-20,245682.2
ACC-C009030962,C009030962,CURRENT,ACTIVE,2024-11-17,500218.08
ACC-C009031099,C009031099,CURRENT,ACTIVE,2022-08-09,338388.57
ACC-C009031236,C009031236,SALARY,ACTIVE,2021-09-21,301057.2
ACC-C009031373,C009031373,SALARY,ACTIVE,2020-04-15,61587.24
ACC-C009031510,C009031510,SALARY,ACTIVE,2017-09-24,40023.52
ACC-C009031647,C009031647,SAVINGS,ACTIVE,2021-10-25,111713.85
ACC-C009031784,C009031784,SALARY,ACTIVE,2024-06-28,295884.96
ACC-C009031921,C009031921,SAVINGS,ACTIVE,2019-03-13,37687.5
ACC-C009032058,C009032058,CURRENT,ACTIVE,2021-02-06,878733.9
ACC-C009032195,C009032195,SALARY,ACTIVE,2024-10-10,8028.15
ACC-C009032332,C009032332,CURRENT,ACTIVE,2023-11-10,2395408.26
ACC-C009032469,C009032469,SAVINGS,ACTIVE,2022-10-15,247081.44
ACC-C009032606,C009032606,CURRENT,ACTIVE,2021-11-22,34104.3
ACC-C009032743,C009032743,SAVINGS,ACTIVE,2015-10-21,1113599.79
ACC-C009032880,C009032880,SAVINGS,ACTIVE,2020-05-21,199954.17
ACC-C009033017,C009033017,SAVINGS,ACTIVE,2020-01-08,58789.2
ACC-C009033154,C009033154,SALARY,ACTIVE,2022-06-13,93876.6
ACC-C009033291,C009033291,SAVINGS,ACTIVE,2017-05-09,1791407
ACC-C009033428,C009033428,SAVINGS,ACTIVE,2020-03-26,308380.64
ACC-C009033565,C009033565,CURRENT,ACTIVE,2015-12-26,110684.8
ACC-C009033702,C009033702,SAVINGS,ACTIVE,2018-06-23,732824.2
ACC-C009033839,C009033839,CURRENT,ACTIVE,2017-08-21,61574.68
ACC-C009033976,C009033976,CURRENT,ACTIVE,2018-04-01,2171888.4
ACC-C009034113,C009034113,CURRENT,ACTIVE,2021-08-14,268971
ACC-C009034250,C009034250,SALARY,ACTIVE,2020-09-01,77034.54
ACC-C009034387,C009034387,SALARY,ACTIVE,2023-05-07,1393563.17
ACC-C009034524,C009034524,SALARY,ACTIVE,2015-10-02,342764.45
ACC-C009034661,C009034661,CURRENT,ACTIVE,2017-01-20,572556.67
ACC-C009034798,C009034798,SALARY,ACTIVE,2016-08-26,12888.55
ACC-C009034935,C009034935,SAVINGS,ACTIVE,2023-12-27,9244.8
ACC-C009035072,C009035072,CURRENT,ACTIVE,2019-03-22,650446.58
ACC-C009035209,C009035209,SALARY,ACTIVE,2015-02-13,92291.64
ACC-C009035346,C009035346,SAVINGS,ACTIVE,2022-05-24,991411.68
ACC-C009035483,C009035483,CURRENT,ACTIVE,2023-04-10,114959.7
ACC-C009035620,C009035620,SALARY,ACTIVE,2024-09-05,31266.55
ACC-C009035757,C009035757,SAVINGS,ACTIVE,2022-09-19,648514.65
ACC-C009035894,C009035894,SAVINGS,ACTIVE,2015-05-08,1784728.3
ACC-C009036031,C009036031,SAVINGS,ACTIVE,2017-04-27,55617.2
ACC-C009036168,C009036168,SAVINGS,ACTIVE,2023-12-05,96551.31
ACC-C009036305,C009036305,SAVINGS,ACTIVE,2023-11-03,2681561.56
ACC-C009036442,C009036442,SALARY,ACTIVE,2016-10-04,60267.78
ACC-C009036579,C009036579,CURRENT,ACTIVE,2019-07-03,28546.02
ACC-C009036716,C009036716,CURRENT,ACTIVE,2020-09-02,53063.57
ACC-C009036853,C009036853,CURRENT,ACTIVE,2022-07-07,97386.12
ACC-C009036990,C009036990,CURRENT,ACTIVE,2016-02-27,113468.76
ACC-C009037127,C009037127,SAVINGS,ACTIVE,2017-08-11,322670.4
ACC-C009037264,C009037264,SAVINGS,ACTIVE,2018-12-19,304278.12
ACC-C009037401,C009037401,CURRENT,ACTIVE,2017-07-05,421050.25
ACC-C009037538,C009037538,SALARY,ACTIVE,2021-11-16,335681.85
ACC-C009037675,C009037675,SAVINGS,ACTIVE,2019-03-16,851031.09
ACC-C009037812,C009037812,SALARY,ACTIVE,2023-08-17,714101.92
ACC-C009037949,C009037949,CURRENT,ACTIVE,2016-06-04,6685.91
ACC-C009038086,C009038086,SAVINGS,ACTIVE,2020-06-04,355905.4
ACC-C009038223,C009038223,CURRENT,ACTIVE,2024-09-20,354009.09
ACC-C009038360,C009038360,SALARY,ACTIVE,2016-01-24,630985.95
ACC-C009038497,C009038497,SALARY,ACTIVE,2024-12-26,442701.28
ACC-C009038634,C009038634,SALARY,ACTIVE,2023-03-17,415764
ACC-C009038771,C009038771,SAVINGS,ACTIVE,2018-04-16,90919.59
ACC-C009038908,C009038908,SAVINGS,ACTIVE,2022-10-13,310621.68
ACC-C009039045,C009039045,SALARY,ACTIVE,2015-03-24,390096.35
ACC-C009039182,C009039182,CURRENT,ACTIVE,2019-11-26,53482.68
ACC-C009039319,C009039319,CURRENT,ACTIVE,2018-07-01,362572.5
ACC-C009039456,C009039456,SALARY,ACTIVE,2017-12-25,32795.47
ACC-C009039593,C009039593,CURRENT,ACTIVE,2017-09-04,270434.98
ACC-C009039730,C009039730,CURRENT,ACTIVE,2020-11-27,622621.9
ACC-C009039867,C009039867,SALARY,ACTIVE,2022-12-08,3326278.95
ACC-C009040004,C009040004,SALARY,ACTIVE,2019-03-15,330841.28
ACC-C009040141,C009040141,CURRENT,ACTIVE,2018-03-11,54065.55
ACC-C009040278,C009040278,SALARY,ACTIVE,2017-07-11,166662.3
ACC-C009040415,C009040415,SAVINGS,ACTIVE,2019-01-17,2002221.9
ACC-C009040552,C009040552,CURRENT,ACTIVE,2022-06-01,711903.3
ACC-C009040689,C009040689,CURRENT,ACTIVE,2022-05-07,66691.45
ACC-C009040826,C009040826,SALARY,ACTIVE,2019-04-15,786989.1
ACC-C009040963,C009040963,CURRENT,ACTIVE,2015-01-19,988386.08
ACC-C009041100,C009041100,SAVINGS,ACTIVE,2016-08-23,1615816.24
