customer_id,transaction_count,avg_transaction,median_transaction,max_transaction,total_volume,unique_beneficiaries,transfer_count,cashout_count
C009015207,45,13421.55,10397.84,56742.92,423884.82,3,9,8
C009015344,43,90315.76,62825.38,370085.07,2419636.16,5,7,7
C009015481,33,4438.22,3744.79,24027.4,122433.95,3,6,7
C009015618,31,67271.67,45598.43,198202.72,1254468.94,4,8,5
C009015755,30,12813.66,10457.85,63560.37,320849.56,2,5,4
C009015892,21,55662.51,34397.5,166816.85,529024.7,2,2,5
C009016029,43,6521.54,4431.72,25606.83,164891.7,4,10,8
C009016166,37,4065.39,2721.26,16166.4,86432.22,2,7,2
C009016303,34,16442.59,9029.36,58042.73,276319.74,3,7,5
C009016440,29,4632.6,3379.49,16407.13,83064,4,8,1
C009016577,32,69407.72,56966.28,232416.19,1264877.16,2,6,1
C009016714,40,13614.54,10363.31,51840.59,330469.51,5,8,1
C009016851,39,3244.71,2461.72,9479.51,65605.11,3,11,7
C009016988,41,24487.64,16149.17,95631.18,499095.43,2,5,5
C009017125,31,17046.72,13365.01,59570.23,313365.45,5,5,2
C009017262,40,31728.27,19131.43,115017.2,575680.99,4,8,5
C009017399,20,3265.97,2836.12,9068.12,56251.29,2,5,1
C009017536,45,32641.53,23605.89,130774.21,950930.6,5,12,7
C009017673,34,48439.06,29852.78,165339.82,797894.73,5,6,3
C009017810,28,41891.69,37177.88,167714.07,847201.5,3,3,6
C009017947,38,4080.01,2707.75,13002.93,67158.36,5,5,4
C009018084,39,5276.08,3781.37,16600.91,114414.11,4,6,6
C009018221,30,23196.45,17031.66,89477.06,518490.64,3,6,4
C009018358,31,6102.24,3845.71,25589.18,90299.75,4,4,4
C009018495,24,8893.13,6881.79,27828.82,122504.95,2,9,2
C009018632,41,2915.24,2062.25,12726.09,75103.46,3,4,7
C009018769,44,10631.57,7405.46,35566.58,182223.47,6,7,6
C009018906,36,37975.37,25967.4,129069.76,683610.98,3,4,2
C009019043,33,1256.05,1060.3,3893.8,26273.95,5,6,1
C009019180,29,13170.55,8639.85,60648.33,226540.67,4,5,4
C009019317,45,29600.46,23442.73,113475.66,940459.86,1,11,9
C009019454,22,8401.19,6446.16,27804.79,136584.49,3,4,4
C009019591,34,14328.1,11508.46,47440.39,358139.39,4,4,6
C009019728,22,8963.05,7987.8,33745.3,130559.07,2,5,1
C009019865,25,22995.55,18520.84,89374.72,385736.63,1,4,2
C009020002,43,12018.74,8008.22,41562.93,289913.65,6,11,4
C009020139,41,2277.01,2010.16,7191.53,86166.04,5,9,9
C009020276,33,6537.61,5273.87,31773.83,131002.99,4,4,8
C009020413,29,9313.64,5774.08,36270.71,125690.1,3,5,4
C009020550,24,9266,6976.63,31040.4,102429.83,2,4,6
C009020687,38,627.99,469.35,2011.97,15448.08,5,9,4
C009020824,34,12576.8,9897.17,50184.43,286648.51,5,9,3
C009020961,32,25197.85,19432.24,95739.77,553643.88,5,9,6
C009021098,36,7451.99,6468.22,23327.16,176769.28,3,4,5
C009021235,44,3303.75,2544.96,12598.48,87335.9,3,10,3
C009021372,29,896.39,740.37,2844.96,21197.58,4,6,4
C009021509,39,51703.83,36178.96,231291.63,1190153.21,5,7,6
C009021646,25,4653.75,2968.17,21778.59,61390.38,2,2,5
C009021783,40,2131.1,1829.5,5707.69,74257.69,4,11,6
C009021920,43,3693.46,3196.53,13200.94,103316.3,5,18,3
C009022057,38,33225.12,5444.24,950000,1121026.71,6,8,2
C009022194,34,42762.79,33566.89,150571.24,652147.66,5,7,2
C009022331,31,18508.45,14526.93,54932.34,317490.11,1,7,3
C009022468,29,4556.3,2537.05,16778.58,60848.5,3,4,5
C009022605,30,11649.34,9097.9,55160.29,233450.77,4,6,5
C009022742,20,6873.77,6530.44,18838.86,118636.45,2,3,2
C009022879,32,67749.27,58801.61,215260.29,1804662.75,6,8,3
C009023016,23,3331.59,2709.34,13030.11,39668.33,0,0,2
C009023153,23,3470.76,2129.59,12009.84,34090.99,2,2,3
C009023290,40,8088.04,5973.44,24078.4,161176.41,4,8,1
C009023427,23,4195.44,3517.87,13999.93,69523.33,4,4,3
C009023564,28,4258.94,3900.33,14618.69,85523.35,1,4,4
C009023701,41,36328.31,27060.63,119354.22,820345.41,5,5,6
C009023838,22,416.85,280.75,1037.76,4396.8,3,3,2
C009023975,37,5330.77,5117,22953.13,158924.06,5,9,4
C009024112,32,1859.68,1725.4,7329.45,47280.83,4,6,4
C009024249,35,2370.5,2065.34,7300.49,55269.27,5,9,3
C009024386,23,83682.82,66841.02,367208.4,1185506.23,2,3,4
C009024523,21,3352.28,2374.57,14140.92,49548.92,4,4,2
C009024660,21,60806.97,57619.13,171283.36,969669.12,3,4,0
C009024797,21,7866.07,6672.95,24424.49,140762.91,6,6,2
C009024934,26,2587.11,1808.64,6915.88,26185.07,1,4,3
C009025071,33,18544.19,13907.82,77192.48,427138.22,4,5,2
C009025208,35,9815.41,8020.22,43844.15,258650.55,4,8,0
C009025345,33,13590.36,9746.3,50556.63,282381.28,4,4,2
C009025482,37,6792.97,4362.13,19343.23,105406.86,3,4,3
C009025619,28,4800.72,2660.55,15786.42,39439.53,2,2,6
C009025756,44,56549.62,43232.91,224890.11,1469173.02,2,4,4
C009025893,38,10193.88,8189.47,45500.04,282781.21,1,8,8
C009026030,45,12839.62,10025.96,35134.44,223130.72,4,8,6
C009026167,44,1759.49,1165.74,9283.93,65488.91,4,12,4
C009026304,23,20565.25,14145.26,63836.77,198110.68,3,5,1
C009026441,29,4784,3834.01,16408.83,88252.69,6,9,3
C009026578,34,11170.16,8587.17,42762.81,214237.88,6,10,3
C009026715,30,4161.58,3250.15,15699.06,84285.25,3,3,4
C009026852,28,76883.99,49584.73,255946.61,907751.92,3,7,3
C009026989,25,3573.22,3091.32,14708.76,62708.03,4,6,3
C009027126,27,1136.19,968.6,4609.93,26067.13,5,7,6
C009027263,40,46738.47,35288.83,179205.9,1148362.31,4,9,4
C009027400,33,1845.56,1610.65,7100.97,46239.85,5,6,3
C009027537,20,58447.44,57174.3,172983.75,776445.04,4,5,0
C009027674,33,40232.69,29369.89,133763.61,706335.67,3,5,2
C009027811,43,1368.45,1066.63,4961.53,36252.41,4,9,3
C009027948,44,2997.64,2432.28,8334.75,91874.44,4,5,9
C009028085,29,2285.76,1478.32,7320.64,28664.41,4,8,2
C009028222,31,1667.05,1634.49,3962.38,51678.63,4,5,5
C009028359,44,25617.24,20202.14,78585.05,677880.94,5,7,4
C009028496,40,67049.24,48517.36,262985.97,1510786.08,3,7,3
C009028633,40,3278.11,2351.28,15022.8,91791.67,9,10,3
C009028770,35,16163.71,10599.52,51037.73,281911.36,4,8,4
C009028907,42,5992.69,4319.21,20638.64,130876.35,4,4,8
C009029044,44,27424.34,20530.32,113363.33,738569.78,3,7,3
C009029181,34,10351.94,7889.97,27273.16,87437.53,3,3,5
C009029318,30,15761.51,9637.1,52148.63,255737.98,3,10,5
C009029455,44,54463.31,37402.07,181691.77,1088837.32,3,6,3
C009029592,21,31268.9,21768.49,85025.58,361995.8,1,3,4
C009029729,37,15316.37,13137.3,61900.11,402741.45,4,5,3
C009029866,38,13231.03,9388.82,39170.09,185231.24,6,8,5
C009030003,41,3457.96,2611.53,11764.6,107517.06,7,9,6
C009030140,31,24475.13,17633.57,63339.2,431773.46,3,9,3
C009030277,44,11219.49,7174.32,64122.22,243664.45,2,3,12
C009030414,24,9112.08,8671.51,28178.33,144293.22,4,6,3
C009030551,26,8416.77,6867.69,22827.98,99866.52,4,6,4
C009030688,44,1255.2,877.72,5229.6,34819.95,2,11,3
C009030825,36,4398.76,3585.34,12757.95,121037.98,2,5,4
C009030962,39,9977.09,9092.4,39271.4,316858.08,4,8,12
C009031099,29,9506.76,8474.69,22783.66,190803.83,2,7,4
C009031236,21,13836.38,7613.71,45447.54,136650.55,1,4,3
C009031373,40,1605.13,1103.98,5697.26,35140.2,4,11,7
C009031510,41,3015.96,2231.5,10561.83,87006.36,4,7,7
C009031647,39,3139.76,2316.62,12364.13,76365.64,5,8,6
C009031784,21,7969.11,6284.34,25277.75,126458.48,2,5,5
C009031921,36,1131.67,955.86,3779.93,27248.32,5,11,1
C009032058,36,41156.83,25037.37,156149.14,812370.76,2,9,3
C009032195,37,364.31,270.68,998.19,7113.65,3,8,5
C009032332,25,64979.43,48521.73,177735.2,672843.41,5,6,4
C009032469,42,8066.1,5328.88,25491.83,140628.08,5,7,4
C009032606,30,1524.52,1234.69,5296.83,36408.3,4,10,5
C009032743,22,31088.42,20939.29,96719.87,327693.07,2,6,3
C009032880,40,7869.2,6724.19,33615.72,229266.09,2,8,3
C009033017,34,5676.4,3822.77,18715.77,97743.3,6,7,6
C009033154,20,1773.98,1042.51,7765.65,20449.26,2,2,3
C009033291,30,74619.29,60937.56,256657,1775740.06,5,7,5
C009033428,31,31398.18,22465.85,89922.81,420235.67,3,6,3
C009033565,31,4466.27,3382.44,15502.36,99467.05,6,6,7
C009033702,24,37469.35,31793.58,107197.89,521371.1,3,7,4
C009033839,43,3493.67,2955.19,15917.64,111433.54,5,7,7
C009033976,30,47383.93,33926.37,163719.91,857126.05,3,7,0
C009034113,43,13534.09,11305.45,53518.64,400380.02,6,11,2
C009034250,21,2523.28,2234.77,7683.26,37659.03,5,6,2
C009034387,46,71192.78,56473.71,256455.6,2563434.92,5,10,6
C009034524,44,10170.65,7654.45,38303.23,307524.51,6,8,3
C009034661,26,28666.59,18295.2,85334.12,339770.01,4,4,3
C009034798,38,888.26,636.28,3229.53,24326.86,7,12,6
C009034935,42,842.06,652.14,2485.67,22383.27,4,8,3
C009035072,22,17188.35,12463.82,56990.36,233932.57,2,5,1
C009035209,32,2671.82,2162.75,7804.38,53155.72,4,7,0
C009035346,29,25061.12,13073.66,115891.91,382439.74,3,6,4
C009035483,30,3855.45,3129.4,11598.03,75848.18,4,7,2
C009035620,33,1378.01,917.83,3985.36,18590.63,3,6,3
C009035757,45,11721.25,10035.38,54297.86,353613.52,5,9,7
C009035894,31,65002.41,49409.86,235073.57,1268710.73,5,10,2
C009036031,33,3897.56,2762.15,13744.4,67475.36,4,5,4
C009036168,25,3000.89,2097.76,11264.3,42030.86,5,6,4
C009036305,36,66514.08,38356.33,214077.2,910389.77,4,7,2
C009036442,42,1430.08,1046.69,5342.53,37419.2,3,6,8
C009036579,23,1502.4,1179.48,4430.49,17893.44,3,4,2
C009036716,31,1216.72,1005.51,3762.5,33955.91,4,10,3
C009036853,34,3733.2,2895.77,11489.2,63685.49,4,7,4
C009036990,29,2461.71,1630.11,9254.87,35758.84,1,3,3
C009037127,40,9499.83,7486.07,30626.15,239981.22,3,7,5
C009037264,25,7357.73,5749.42,27070.85,116345.32,5,7,3
C009037401,42,20330.58,14798.78,77553.84,570915.92,4,12,6
C009037538,20,8026.75,6957.33,24734.23,118021.74,2,4,2
C009037675,44,49072.01,40506.94,183918.71,1482789.64,5,7,3
C009037812,22,22514.66,17769.32,86631.79,273570.43,3,5,3
C009037949,36,542.82,367.54,1596.3,11434.55,4,10,4
C009038086,25,12372.82,8674.6,30361.11,88900.58,4,4,2
C009038223,41,13937.23,11472.35,57471.01,373116.45,5,7,3
C009038360,43,15568.25,10206,68179.01,434193.39,6,12,6
C009038497,40,82482.68,9198.77,500000,3091330.72,6,15,5
C009038634,34,6058.56,4403.26,28884.23,152540.32,5,7,6
C009038771,37,2082.32,1585.07,7693.35,46929.7,6,7,1
C009038908,25,11352.82,8158.27,32044.79,117775.16,2,4,4
C009039045,34,11484.53,7216.76,39386.98,148224.72,3,7,4
C009039182,41,1287.05,1193.99,4445.22,44873.71,5,10,6
C009039319,22,6190.69,5640.44,16664.87,106890.92,6,7,2
C009039456,41,2036.37,1390.57,6776.13,47251.22,3,3,4
C009039593,44,11228.28,7855.77,32236.9,223723,5,13,2
C009039730,39,18626.28,15008.74,68943.75,476882.07,5,8,6
C009039867,26,91797.91,67715.29,347996.66,1038854.94,3,5,4
C009040004,42,12152.59,9062.79,51434.01,293061.94,4,9,8
C009040141,31,1204.36,830.33,4905.21,21797.12,2,3,3
C009040278,43,3978.09,2794.95,13660.99,87759.49,6,7,5
C009040415,43,65137.65,42208.8,218485.61,1413867.75,5,6,11
C009040552,46,34942.98,20901.38,133747.77,919071.32,7,12,9
C009040689,22,1139.4,1153.19,1908.86,25066.78,2,6,1
C009040826,24,58967.62,48011.44,207680.4,949755.73,2,3,1
C009040963,22,29102,27000.88,74305.08,565938.95,2,6,2
C009041100,26,55742.29,44638.75,157761.87,837111.57,4,8,3
