transaction_id,stream_order,emit_delay_ms,type,amount,customer_id,account_id,nameDest,destination_type,event_time,is_scenario_trigger
TX004858,33,500,DEBIT,7479.94,C009020002,ACC-C009020002,M1565583350,MERCHANT,2026-10-30T07:28:00,FALSE
TX001754,34,500,DEBIT,8695.34,C009007535,ACC-C009007535,M668417314,MERCHANT,2026-10-30T07:30:00,FALSE
TX000785,35,500,CASH_IN,59386.7,C009003562,ACC-C009003562,EMPLOYER-3562,ACCOUNT,2026-10-30T08:12:00,FALSE
TX000640,36,500,DEBIT,11222.68,C009002877,ACC-C009002877,M109611571,MERCHANT,2026-10-30T08:18:00,FALSE
TX006111,37,500,PAYMENT,4396.73,C009025482,ACC-C009025482,M390010388,MERCHANT,2026-10-30T08:21:00,FALSE
TX004569,38,500,CASH_OUT,3328.65,C009018769,ACC-C009018769,ATM-HYDERABAD,ACCOUNT,2026-10-30T08:42:00,FALSE
TX005089,39,500,TRANSFER,19381.4,C009020961,ACC-C009020961,C158424358,ACCOUNT,2026-10-30T08:43:00,FALSE
TX005644,40,500,PAYMENT,3999.17,C009023290,ACC-C009023290,M1510333744,MERCHANT,2026-10-30T08:47:00,FALSE
TX009955,41,1500,TRANSFER,781075.61,C009001507,ACC-C009001507,C777000001,ACCOUNT,2026-10-30T11:10:00,TRUE
TX009956,42,500,TRANSFER,14030.8,C009005617,ACC-C009005617,C365212068,ACCOUNT,2026-10-30T11:40:00,FALSE
TX009957,43,500,TRANSFER,12788.23,C009005617,ACC-C009005617,C85777802,ACCOUNT,2026-10-30T11:41:00,FALSE
TX009958,44,500,TRANSFER,15392.5,C009005617,ACC-C009005617,C85777802,ACCOUNT,2026-10-30T11:42:00,FALSE
TX009959,45,500,TRANSFER,11610.67,C009005617,ACC-C009005617,C85777802,ACCOUNT,2026-10-30T11:43:00,FALSE
TX009960,46,500,TRANSFER,11718.88,C009005617,ACC-C009005617,C85777802,ACCOUNT,2026-10-30T11:44:00,FALSE
TX009961,47,500,TRANSFER,12374.44,C009005617,ACC-C009005617,C461905695,ACCOUNT,2026-10-30T11:45:00,FALSE
TX009962,48,500,TRANSFER,15133.49,C009005617,ACC-C009005617,C365212068,ACCOUNT,2026-10-30T11:46:00,FALSE
TX009963,49,1500,TRANSFER,14420.34,C009005617,ACC-C009005617,C461905695,ACCOUNT,2026-10-30T11:47:00,TRUE
TX009964,50,500,TRANSFER,194251,C009009727,ACC-C009009727,C777000003,ACCOUNT,2026-10-30T12:40:00,FALSE
TX009968,51,1500,TRANSFER,487075.7,C009013837,ACC-C009013837,C1121686878,ACCOUNT,2026-10-30T13:10:00,TRUE
TX009969,52,1500,TRANSFER,6715.84,C009017947,ACC-C009017947,C777000005,ACCOUNT,2026-10-30T13:40:00,TRUE
TX009970,53,1500,TRANSFER,950000,C009022057,ACC-C009022057,C777000006,ACCOUNT,2026-10-30T14:10:00,TRUE
TX009971,54,1500,TRANSFER,9283.93,C009026167,ACC-C009026167,C888000007,ACCOUNT,2026-10-30T15:10:00,TRUE
TX009972,55,500,TRANSFER,27364.74,C009002192,ACC-C009002192,C888000007,ACCOUNT,2026-10-30T15:13:00,FALSE
TX009973,56,500,TRANSFER,24074.86,C009007672,ACC-C009007672,C888000007,ACCOUNT,2026-10-30T15:16:00,FALSE
TX009974,57,500,TRANSFER,19343.23,C009025482,ACC-C009025482,C888000007,ACCOUNT,2026-10-30T15:19:00,FALSE
TX009975,58,500,TRANSFER,133747.77,C009040552,ACC-C009040552,C888000007,ACCOUNT,2026-10-30T15:22:00,FALSE
TX009965,59,500,TRANSFER,191644,C009009727,ACC-C009009727,C777000003,ACCOUNT,2026-10-30T15:40:00,FALSE
TX009976,60,500,CASH_IN,64122.22,C009030277,ACC-C009030277,C888000008,ACCOUNT,2026-10-30T15:40:00,FALSE
TX009977,61,500,CASH_OUT,11542,C009030277,ACC-C009030277,ATM-DELHI,ACCOUNT,2026-10-30T15:45:00,FALSE
TX009978,62,500,CASH_OUT,11542,C009030277,ACC-C009030277,ATM-CHENNAI,ACCOUNT,2026-10-30T15:55:00,FALSE
TX009979,63,500,CASH_OUT,11542,C009030277,ACC-C009030277,ATM-MUMBAI,ACCOUNT,2026-10-30T16:05:00,FALSE
TX009980,64,500,CASH_OUT,11542,C009030277,ACC-C009030277,ATM-SURAT,ACCOUNT,2026-10-30T16:15:00,FALSE
TX009981,65,1500,CASH_OUT,11542,C009030277,ACC-C009030277,ATM-MUMBAI,ACCOUNT,2026-10-30T16:25:00,TRUE
TX009982,66,1500,TRANSFER,200684.89,C009034387,ACC-C009034387,C888000009,ACCOUNT,2026-10-30T16:25:00,TRUE
TX009983,67,500,TRANSFER,31531.07,C009003562,ACC-C009003562,C888000009,ACCOUNT,2026-10-30T16:26:00,FALSE
TX009984,68,500,TRANSFER,20460.22,C009010412,ACC-C009010412,C888000009,ACCOUNT,2026-10-30T16:27:00,FALSE
TX009985,69,500,TRANSFER,3962.38,C009028222,ACC-C009028222,C888000009,ACCOUNT,2026-10-30T16:28:00,FALSE
TX009991,70,1500,TRANSFER,500000,C009038497,ACC-C009038497,C999000010,ACCOUNT,2026-10-30T16:55:00,TRUE
TX009966,71,500,TRANSFER,197940,C009009727,ACC-C009009727,C777000003,ACCOUNT,2026-10-30T18:40:00,FALSE
TX009967,72,1500,TRANSFER,197517,C009009727,ACC-C009009727,C777000003,ACCOUNT,2026-10-30T21:40:00,TRUE
