customer_id,kyc_status,risk_category,occupation,annual_income_band,document_type,document_verified,phone_verified,address_verified,pep_status
C009002877,VERIFIED,MEDIUM,RETIRED,10L-20L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009003014,VERIFIED,MEDIUM,RETIRED,3L-5L,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009003151,VERIFIED,MEDIUM,SALARIED,5L-10L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009003288,VERIFIED,LOW,SALARIED,0-3L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009003425,PENDING,HIGH,STUDENT,20L+,PAN,TRUE,TRUE,FALSE,TRUE
C009003562,VERIFIED,LOW,PROFESSIONAL,10L-20L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009003699,VERIFIED,LOW,RETIRED,0-3L,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009003836,VERIFIED,LOW,SALARIED,0-3L,PAN,TRUE,TRUE,FALSE,FALSE
C009003973,PENDING,MEDIUM,SELF_EMPLOYED,20L+,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009004110,VERIFIED,LOW,RETIRED,10L-20L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009004247,VERIFIED,MEDIUM,BUSINESS_OWNER,3L-5L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009004384,VERIFIED,MEDIUM,SELF_EMPLOYED,10L-20L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009004521,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009004658,PENDING,LOW,BUSINESS_OWNER,0-3L,PAN,TRUE,TRUE,FALSE,FALSE
C009004795,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009004932,VERIFIED,LOW,RETIRED,10L-20L,PAN,TRUE,TRUE,TRUE,FALSE
C009005069,VERIFIED,LOW,SALARIED,0-3L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009005206,VERIFIED,MEDIUM,PROFESSIONAL,0-3L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009005343,PENDING,LOW,RETIRED,0-3L,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009005480,VERIFIED,LOW,STUDENT,3L-5L,PAN,TRUE,TRUE,TRUE,FALSE
C009005617,VERIFIED,MEDIUM,SALARIED,10L-20L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009005754,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009005891,PENDING,HIGH,SELF_EMPLOYED,20L+,PAN,TRUE,TRUE,FALSE,FALSE
C009006028,VERIFIED,MEDIUM,SELF_EMPLOYED,3L-5L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009006165,VERIFIED,HIGH,RETIRED,20L+,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009006302,VERIFIED,MEDIUM,SELF_EMPLOYED,20L+,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009006439,PENDING,LOW,PROFESSIONAL,3L-5L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009006576,VERIFIED,MEDIUM,STUDENT,3L-5L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009006713,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,PAN,TRUE,TRUE,FALSE,FALSE
C009006850,VERIFIED,LOW,PROFESSIONAL,3L-5L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009006987,VERIFIED,HIGH,SALARIED,20L+,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009007124,PENDING,MEDIUM,SELF_EMPLOYED,0-3L,PAN,TRUE,TRUE,FALSE,FALSE
C009007261,VERIFIED,MEDIUM,SELF_EMPLOYED,20L+,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009007398,VERIFIED,LOW,RETIRED,0-3L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009007535,VERIFIED,LOW,SALARIED,10L-20L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009007672,VERIFIED,MEDIUM,SALARIED,3L-5L,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009007809,VERIFIED,LOW,RETIRED,3L-5L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009007946,VERIFIED,LOW,PROFESSIONAL,3L-5L,PAN,TRUE,TRUE,TRUE,FALSE
C009008083,VERIFIED,MEDIUM,PROFESSIONAL,5L-10L,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009008220,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009008357,VERIFIED,LOW,SALARIED,10L-20L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009008494,VERIFIED,LOW,STUDENT,3L-5L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009008631,VERIFIED,LOW,STUDENT,5L-10L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009008768,VERIFIED,LOW,SELF_EMPLOYED,10L-20L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009008905,PENDING,LOW,STUDENT,0-3L,PAN,TRUE,TRUE,TRUE,FALSE
C009009042,VERIFIED,LOW,PROFESSIONAL,3L-5L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009009179,VERIFIED,LOW,SALARIED,5L-10L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009009316,VERIFIED,LOW,SELF_EMPLOYED,10L-20L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009009453,VERIFIED,LOW,PROFESSIONAL,3L-5L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009009590,VERIFIED,LOW,STUDENT,3L-5L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009009727,VERIFIED,MEDIUM,BUSINESS_OWNER,0-3L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009009864,VERIFIED,LOW,RETIRED,0-3L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009010001,VERIFIED,MEDIUM,BUSINESS_OWNER,10L-20L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009010138,VERIFIED,MEDIUM,SALARIED,5L-10L,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009010275,VERIFIED,MEDIUM,STUDENT,5L-10L,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009010412,VERIFIED,HIGH,BUSINESS_OWNER,20L+,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009010549,VERIFIED,LOW,BUSINESS_OWNER,5L-10L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009010686,VERIFIED,LOW,PROFESSIONAL,3L-5L,PAN,TRUE,TRUE,TRUE,FALSE
C009010823,VERIFIED,MEDIUM,BUSINESS_OWNER,3L-5L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009010960,VERIFIED,LOW,SALARIED,3L-5L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009011097,VERIFIED,MEDIUM,STUDENT,5L-10L,PAN,TRUE,TRUE,TRUE,FALSE
C009011234,PENDING,LOW,BUSINESS_OWNER,3L-5L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009011371,VERIFIED,MEDIUM,PROFESSIONAL,10L-20L,PAN,TRUE,TRUE,TRUE,FALSE
C009011508,PENDING,LOW,STUDENT,5L-10L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009011645,VERIFIED,LOW,SELF_EMPLOYED,0-3L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009011782,VERIFIED,LOW,RETIRED,5L-10L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009011919,PENDING,MEDIUM,RETIRED,10L-20L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009012056,VERIFIED,MEDIUM,PROFESSIONAL,5L-10L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009012193,VERIFIED,HIGH,BUSINESS_OWNER,20L+,PAN,TRUE,TRUE,TRUE,FALSE
C009012330,VERIFIED,LOW,BUSINESS_OWNER,5L-10L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009012467,VERIFIED,MEDIUM,RETIRED,20L+,PAN,TRUE,TRUE,FALSE,FALSE
C009012604,VERIFIED,LOW,STUDENT,3L-5L,VOTER_ID,TRUE,TRUE,TRUE,TRUE
C009012741,PENDING,LOW,SELF_EMPLOYED,3L-5L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009012878,PENDING,LOW,STUDENT,10L-20L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009013015,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009013152,VERIFIED,MEDIUM,RETIRED,20L+,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009013289,VERIFIED,LOW,SALARIED,3L-5L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009013426,PENDING,LOW,PROFESSIONAL,0-3L,PAN,TRUE,TRUE,TRUE,FALSE
C009013563,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009013700,VERIFIED,MEDIUM,STUDENT,20L+,PAN,TRUE,TRUE,TRUE,FALSE
C009013837,VERIFIED,MEDIUM,PROFESSIONAL,20L+,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009013974,VERIFIED,MEDIUM,SALARIED,0-3L,PAN,TRUE,TRUE,FALSE,FALSE
C009014111,VERIFIED,LOW,RETIRED,5L-10L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009014248,VERIFIED,LOW,STUDENT,10L-20L,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009014385,VERIFIED,MEDIUM,BUSINESS_OWNER,0-3L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009014522,VERIFIED,MEDIUM,RETIRED,0-3L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009014659,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,PAN,TRUE,TRUE,TRUE,FALSE
C009014796,VERIFIED,MEDIUM,BUSINESS_OWNER,10L-20L,PAN,TRUE,TRUE,FALSE,FALSE
C009014933,VERIFIED,HIGH,STUDENT,20L+,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009015070,VERIFIED,LOW,PROFESSIONAL,10L-20L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009015207,VERIFIED,LOW,RETIRED,5L-10L,VOTER_ID,TRUE,TRUE,TRUE,TRUE
C009015344,VERIFIED,MEDIUM,RETIRED,20L+,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009015481,PENDING,LOW,RETIRED,3L-5L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009015618,VERIFIED,MEDIUM,PROFESSIONAL,20L+,PAN,TRUE,TRUE,FALSE,FALSE
C009015755,PENDING,LOW,PROFESSIONAL,10L-20L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009015892,VERIFIED,MEDIUM,PROFESSIONAL,20L+,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009016029,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,PAN,TRUE,TRUE,FALSE,FALSE
C009016166,VERIFIED,LOW,SALARIED,0-3L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009016303,PENDING,LOW,SALARIED,5L-10L,PAN,TRUE,TRUE,FALSE,FALSE
C009016440,VERIFIED,LOW,STUDENT,3L-5L,PAN,TRUE,TRUE,TRUE,FALSE
C009016577,VERIFIED,MEDIUM,RETIRED,20L+,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009016714,VERIFIED,LOW,STUDENT,5L-10L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009016851,VERIFIED,MEDIUM,RETIRED,5L-10L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009016988,VERIFIED,LOW,SALARIED,10L-20L,AADHAAR,TRUE,TRUE,TRUE,TRUE
C009017125,VERIFIED,LOW,STUDENT,10L-20L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009017262,VERIFIED,LOW,SELF_EMPLOYED,10L-20L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009017399,VERIFIED,MEDIUM,STUDENT,10L-20L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009017536,VERIFIED,LOW,STUDENT,10L-20L,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009017673,VERIFIED,MEDIUM,PROFESSIONAL,20L+,PAN,TRUE,TRUE,TRUE,FALSE
C009017810,PENDING,MEDIUM,SALARIED,20L+,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009017947,VERIFIED,LOW,PROFESSIONAL,3L-5L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009018084,VERIFIED,MEDIUM,SALARIED,10L-20L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009018221,VERIFIED,MEDIUM,SELF_EMPLOYED,20L+,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009018358,VERIFIED,LOW,RETIRED,3L-5L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009018495,PENDING,LOW,RETIRED,3L-5L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009018632,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,PAN,TRUE,TRUE,TRUE,FALSE
C009018769,VERIFIED,MEDIUM,BUSINESS_OWNER,3L-5L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009018906,VERIFIED,LOW,SELF_EMPLOYED,10L-20L,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009019043,VERIFIED,LOW,PROFESSIONAL,3L-5L,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009019180,PENDING,LOW,SELF_EMPLOYED,5L-10L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009019317,VERIFIED,HIGH,PROFESSIONAL,20L+,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009019454,VERIFIED,LOW,BUSINESS_OWNER,10L-20L,PAN,TRUE,TRUE,TRUE,FALSE
C009019591,PENDING,LOW,RETIRED,5L-10L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009019728,PENDING,LOW,STUDENT,5L-10L,PAN,TRUE,TRUE,TRUE,FALSE
C009019865,VERIFIED,MEDIUM,BUSINESS_OWNER,10L-20L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009020002,VERIFIED,LOW,PROFESSIONAL,10L-20L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009020139,VERIFIED,MEDIUM,RETIRED,5L-10L,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009020276,PENDING,LOW,SELF_EMPLOYED,5L-10L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009020413,VERIFIED,MEDIUM,SELF_EMPLOYED,5L-10L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009020550,PENDING,LOW,SALARIED,5L-10L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009020687,VERIFIED,MEDIUM,PROFESSIONAL,0-3L,PAN,TRUE,TRUE,TRUE,FALSE
C009020824,VERIFIED,LOW,SELF_EMPLOYED,5L-10L,PAN,TRUE,TRUE,TRUE,FALSE
C009020961,PENDING,MEDIUM,BUSINESS_OWNER,20L+,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009021098,PENDING,LOW,RETIRED,5L-10L,PAN,TRUE,TRUE,FALSE,FALSE
C009021235,VERIFIED,LOW,SELF_EMPLOYED,0-3L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009021372,PENDING,LOW,BUSINESS_OWNER,0-3L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009021509,VERIFIED,MEDIUM,STUDENT,20L+,PAN,TRUE,TRUE,TRUE,FALSE
C009021646,VERIFIED,LOW,STUDENT,3L-5L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009021783,PENDING,MEDIUM,SALARIED,5L-10L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009021920,PENDING,MEDIUM,RETIRED,3L-5L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009022057,VERIFIED,LOW,STUDENT,0-3L,PAN,TRUE,TRUE,FALSE,FALSE
C009022194,PENDING,LOW,STUDENT,10L-20L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009022331,VERIFIED,MEDIUM,SELF_EMPLOYED,20L+,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009022468,PENDING,LOW,SELF_EMPLOYED,0-3L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009022605,VERIFIED,LOW,PROFESSIONAL,5L-10L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009022742,VERIFIED,MEDIUM,BUSINESS_OWNER,20L+,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009022879,VERIFIED,MEDIUM,BUSINESS_OWNER,20L+,PASSPORT,TRUE,TRUE,FALSE,TRUE
C009023016,VERIFIED,LOW,PROFESSIONAL,0-3L,PAN,TRUE,TRUE,FALSE,FALSE
C009023153,VERIFIED,LOW,SALARIED,0-3L,PAN,TRUE,TRUE,FALSE,FALSE
C009023290,VERIFIED,LOW,RETIRED,10L-20L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009023427,PENDING,LOW,STUDENT,10L-20L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009023564,VERIFIED,LOW,BUSINESS_OWNER,0-3L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009023701,VERIFIED,LOW,RETIRED,10L-20L,PAN,TRUE,TRUE,FALSE,FALSE
C009023838,VERIFIED,LOW,PROFESSIONAL,0-3L,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009023975,PENDING,LOW,BUSINESS_OWNER,3L-5L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009024112,VERIFIED,LOW,STUDENT,0-3L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009024249,VERIFIED,MEDIUM,STUDENT,0-3L,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009024386,PENDING,MEDIUM,SALARIED,20L+,PAN,TRUE,TRUE,TRUE,FALSE
C009024523,VERIFIED,LOW,SALARIED,0-3L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009024660,VERIFIED,HIGH,PROFESSIONAL,20L+,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009024797,VERIFIED,HIGH,PROFESSIONAL,20L+,VOTER_ID,TRUE,TRUE,FALSE,TRUE
C009024934,VERIFIED,LOW,RETIRED,0-3L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009025071,VERIFIED,LOW,RETIRED,10L-20L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009025208,PENDING,LOW,STUDENT,5L-10L,PAN,TRUE,TRUE,TRUE,FALSE
C009025345,VERIFIED,MEDIUM,SELF_EMPLOYED,10L-20L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009025482,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009025619,VERIFIED,MEDIUM,PROFESSIONAL,0-3L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009025756,VERIFIED,HIGH,SALARIED,20L+,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009025893,VERIFIED,LOW,RETIRED,5L-10L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009026030,VERIFIED,MEDIUM,BUSINESS_OWNER,3L-5L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009026167,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,PAN,TRUE,TRUE,FALSE,FALSE
C009026304,VERIFIED,LOW,PROFESSIONAL,10L-20L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009026441,VERIFIED,MEDIUM,STUDENT,0-3L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009026578,VERIFIED,LOW,SELF_EMPLOYED,5L-10L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009026715,VERIFIED,LOW,SELF_EMPLOYED,3L-5L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009026852,PENDING,MEDIUM,BUSINESS_OWNER,20L+,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009026989,VERIFIED,LOW,SELF_EMPLOYED,3L-5L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009027126,PENDING,LOW,SELF_EMPLOYED,0-3L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009027263,VERIFIED,HIGH,STUDENT,20L+,PAN,TRUE,TRUE,TRUE,FALSE
C009027400,VERIFIED,LOW,SALARIED,3L-5L,PAN,TRUE,TRUE,TRUE,FALSE
C009027537,PENDING,HIGH,PROFESSIONAL,20L+,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009027674,VERIFIED,LOW,BUSINESS_OWNER,10L-20L,PAN,TRUE,TRUE,TRUE,FALSE
C009027811,VERIFIED,LOW,RETIRED,0-3L,PAN,TRUE,TRUE,FALSE,FALSE
C009027948,VERIFIED,LOW,SELF_EMPLOYED,10L-20L,PAN,TRUE,TRUE,TRUE,FALSE
C009028085,VERIFIED,LOW,BUSINESS_OWNER,0-3L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009028222,PENDING,LOW,BUSINESS_OWNER,0-3L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009028359,VERIFIED,LOW,SALARIED,10L-20L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009028496,VERIFIED,MEDIUM,SALARIED,20L+,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009028633,VERIFIED,LOW,SELF_EMPLOYED,0-3L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009028770,VERIFIED,LOW,SALARIED,10L-20L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009028907,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009029044,VERIFIED,MEDIUM,PROFESSIONAL,10L-20L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009029181,VERIFIED,MEDIUM,SELF_EMPLOYED,5L-10L,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009029318,PENDING,MEDIUM,SALARIED,5L-10L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009029455,VERIFIED,HIGH,SELF_EMPLOYED,20L+,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009029592,VERIFIED,LOW,SELF_EMPLOYED,10L-20L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009029729,PENDING,HIGH,SALARIED,20L+,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009029866,PENDING,MEDIUM,RETIRED,5L-10L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009030003,VERIFIED,LOW,STUDENT,0-3L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009030140,VERIFIED,LOW,RETIRED,10L-20L,AADHAAR,TRUE,TRUE,FALSE,TRUE
C009030277,VERIFIED,HIGH,RETIRED,20L+,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009030414,VERIFIED,LOW,RETIRED,3L-5L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009030551,VERIFIED,MEDIUM,RETIRED,10L-20L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009030688,PENDING,LOW,BUSINESS_OWNER,0-3L,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009030825,VERIFIED,LOW,SELF_EMPLOYED,5L-10L,PAN,TRUE,TRUE,TRUE,FALSE
C009030962,VERIFIED,LOW,PROFESSIONAL,10L-20L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009031099,VERIFIED,LOW,SALARIED,5L-10L,PAN,TRUE,TRUE,FALSE,FALSE
C009031236,PENDING,LOW,PROFESSIONAL,5L-10L,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009031373,VERIFIED,MEDIUM,SELF_EMPLOYED,0-3L,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009031510,VERIFIED,LOW,RETIRED,3L-5L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009031647,VERIFIED,LOW,RETIRED,0-3L,AADHAAR,TRUE,TRUE,FALSE,FALSE
C009031784,VERIFIED,LOW,RETIRED,10L-20L,VOTER_ID,TRUE,TRUE,FALSE,FALSE
C009031921,VERIFIED,MEDIUM,RETIRED,0-3L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009032058,PENDING,MEDIUM,PROFESSIONAL,20L+,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009032195,PENDING,LOW,RETIRED,0-3L,VOTER_ID,TRUE,TRUE,TRUE,FALSE
C009032332,PENDING,MEDIUM,PROFESSIONAL,20L+,PASSPORT,TRUE,TRUE,TRUE,FALSE
C009032469,VERIFIED,LOW,PROFESSIONAL,3L-5L,PASSPORT,TRUE,TRUE,FALSE,FALSE
C009032606,PENDING,LOW,SALARIED,5L-10L,PAN,TRUE,TRUE,TRUE,FALSE
C009032743,VERIFIED,HIGH,BUSINESS_OWNER,20L+,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009032880,VERIFIED,LOW,BUSINESS_OWNER,3L-5L,PAN,TRUE,TRUE,FALSE,FALSE
C009033017,VERIFIED,LOW,PROFESSIONAL,3L-5L,AADHAAR,TRUE,TRUE,TRUE,FALSE
C009033154,PENDING,LOW,PROFESSIONAL,0-3L,AADHAAR,TRUE,TRUE,TRUE,FALSE
