customer_id,beneficiary_id,relationship_status
C009040552,C1440325059,ESTABLISHED
C009016577,C1424082571,ESTABLISHED
C009007261,C1060563153,RECURRING
C009001096,C1909597726,NEW
C009040826,C824197891,RECURRING
C009020413,C215145189,RECURRING
C009040141,C831775261,NEW
C009028770,C205300866,RECURRING
C009008905,C297785169,NEW
C009008357,C1688019098,RECURRING
C009007535,C1019670582,RECURRING
C009012330,C466505482,NEW
C009033976,C347725669,NEW
C009009179,C1831477404,RECURRING
C009008768,C977993101,NEW
C009018495,C1692066743,ESTABLISHED
C009038634,C1291286504,NEW
C009007398,C1260651126,NEW
C009008220,C1786758337,RECURRING
C009013700,C1899073220,RECURRING
C009000274,C697172013,ESTABLISHED
C009038497,C24404443,ESTABLISHED
C009018769,C271588719,NEW
C009010823,C193864812,ESTABLISHED
C009016440,C1753885705,RECURRING
C009040963,C870563118,ESTABLISHED
C009008905,C762570948,RECURRING
C009023290,C1100767002,ESTABLISHED
C009010823,C934085675,NEW
C009009316,C1016689071,ESTABLISHED
C009020687,C149474995,ESTABLISHED
C009007398,C1820355723,RECURRING
C009003699,C1170794006,NEW
C009037401,C1759482496,ESTABLISHED
C009026989,C1303868418,RECURRING
C009005206,C1467806809,NEW
C009006713,C301749835,NEW
C009030414,C1971489295,NEW
C009032469,C214774813,RECURRING
C009001918,C778731861,NEW
C009020824,C564160838,NEW
C009004658,C716083600,RECURRING
C009014522,C740950652,ESTABLISHED
C009030825,C1829344035,ESTABLISHED
C009005754,C1345063038,RECURRING
C009000137,C609116570,ESTABLISHED
C009022194,C1559037239,ESTABLISHED
C009021783,C1436136891,ESTABLISHED
C009018358,C473344802,NEW
C009040415,C1587143371,RECURRING
C009026441,C1321530272,NEW
C009036031,C476179877,NEW
C009023701,C1022680775,NEW
C009035072,C405881980,ESTABLISHED
C009040689,C1428469551,ESTABLISHED
C009012330,C9108707,ESTABLISHED
C009001096,C2072865894,NEW
C009005206,C486371171,NEW
C009017673,C1331052438,NEW
C009039593,C188246551,NEW
C009022057,C1706891711,ESTABLISHED
C009015207,C187649742,ESTABLISHED
C009034524,C49477935,ESTABLISHED
C009007946,C1641587857,NEW
C009036168,C1136419747,NEW
C009001644,C2100440237,ESTABLISHED
C009030962,C1568059495,RECURRING
C009037264,C757108857,RECURRING
C009009727,C783286238,NEW
C009008768,C1725062057,NEW
C009025482,C590842329,NEW
C009030414,C309167705,ESTABLISHED
C009017947,C791512944,NEW
C009011234,C2125012025,RECURRING
C009027400,C1424082571,NEW
C009006713,C1234059684,NEW
C009035346,C1207178960,ESTABLISHED
C009019043,C405881980,RECURRING
C009024934,C1750905143,ESTABLISHED
C009005343,C1706891711,ESTABLISHED
C009008220,C1774531247,NEW
C009020824,C345679794,NEW
C009040826,C1219273867,NEW
C009026441,C7313260,NEW
C009014933,C625088521,ESTABLISHED
C009012604,C1457383927,NEW
C009035483,C408553489,ESTABLISHED
C009002603,C1222590577,NEW
C009025893,C1632716597,ESTABLISHED
C009020824,C1706891711,RECURRING
C009002466,C1382717704,ESTABLISHED
C009034387,C1028574311,ESTABLISHED
C009035620,C2118255842,NEW
C009036031,C1629687658,NEW
C009008083,C935808590,NEW
C009029866,C709091500,NEW
C009039182,C1121686878,NEW
C009006439,C1674899618,ESTABLISHED
C009023701,C1694262384,NEW
C009018769,C214187874,RECURRING
C009038086,C1774531247,NEW
C009033839,C2046611860,NEW
C009008083,C2057394816,ESTABLISHED
C009013974,C1946866478,NEW
C009030688,C2113508588,NEW
C009029592,C705265015,ESTABLISHED
C009019454,C578102596,NEW
C009017673,C1167066016,NEW
C009034935,C1629687658,RECURRING
C009036305,C1682264452,ESTABLISHED
C009013426,C309167705,NEW
C009029044,C1782580546,RECURRING
C009025071,C758750856,RECURRING
C009011645,C1636786811,NEW
C009037949,C715819458,ESTABLISHED
C009040278,C1122118227,RECURRING
C009027400,C413177525,NEW
C009013289,C1213485528,ESTABLISHED
C009030140,C288665596,ESTABLISHED
C009006850,C1165398731,NEW
C009023838,C240650537,NEW
C009020139,C1951379728,ESTABLISHED
C009009453,C292665982,ESTABLISHED
C009016029,C840027268,ESTABLISHED
C009008905,C1686100174,NEW
C009034798,C619120762,NEW
C009026167,C193864812,NEW
C009027263,C1464984894,ESTABLISHED
C009036990,C145693769,ESTABLISHED
C009021509,C1850180796,RECURRING
C009029866,C20671747,NEW
C009034387,C746009679,ESTABLISHED
C009027674,C1826334428,RECURRING
C009013015,C1059749024,NEW
C009032332,C1850803964,NEW
C009036031,C271588719,NEW
C009036579,C1937962514,NEW
C009014248,C1453795463,NEW
C009010138,C1123629720,NEW
C009026441,C107095723,RECURRING
C009004110,C187019413,NEW
C009034798,C124540047,RECURRING
C009028085,C1529115495,NEW
C009011919,C1209271652,NEW
C009005069,C1653433120,NEW
C009018495,C466505482,NEW
C009004247,C1935365522,NEW
C009039730,C2046611860,ESTABLISHED
C009018632,C1916720513,NEW
C009041100,C1419794148,ESTABLISHED
C009033702,C1545688642,ESTABLISHED
C009027811,C800523009,NEW
C009023427,C1505755152,NEW
C009021920,C2113748097,ESTABLISHED
C009035757,C1360393616,ESTABLISHED
C009024249,C2046578329,NEW
C009020687,C1494895909,NEW
C009008357,C1789550256,NEW
C009037127,C611621587,ESTABLISHED
C009033839,C434091818,RECURRING
C009020276,C814473635,NEW
C009017947,C515132998,NEW
C009025619,C1963862935,NEW
C009019180,C1321128627,NEW
C009035757,C1346667529,NEW
C009039182,C769342184,ESTABLISHED
C009006028,C503195940,ESTABLISHED
C009004110,C747464370,ESTABLISHED
C009013974,C461905695,RECURRING
C009021372,C1509514333,NEW
C009028633,C1336996537,NEW
C009026030,C716083600,NEW
C009009864,C265108079,RECURRING
C009010549,C1211317010,NEW
C009019728,C2004013670,RECURRING
C009038360,C24119573,NEW
C009000822,C1750563752,NEW
C009000959,C1588476205,ESTABLISHED
C009004384,C1360913629,NEW
C009036305,C1641169735,NEW
C009038086,C811587677,NEW
C009003014,C1241128308,NEW
C009021920,C2006206648,ESTABLISHED
C009005480,C173783788,NEW
C009033702,C1529115495,NEW
C009018084,C1262822392,NEW
C009020139,C1022680775,RECURRING
C009037949,C555334025,NEW
C009020139,C1137350304,NEW
C009020687,C499052031,NEW
C009026989,C1262822392,NEW
C009039182,C1946866478,RECURRING
C009028085,C191614132,NEW
C009014385,C1360393616,NEW
C009031510,C71555810,ESTABLISHED
C009024523,C911998047,NEW
C009033428,C2144647660,NEW
C009012604,C1859965144,RECURRING
C009014385,C769342184,ESTABLISHED
C009039456,C1603338883,NEW
C009031510,C162400148,RECURRING
C009031373,C1653844940,ESTABLISHED
C009028770,C736709391,ESTABLISHED
C009013015,C187019413,NEW
C009038771,C1898288372,RECURRING
C009038360,C1200612373,NEW
C009015481,C968113504,NEW
C009008083,C421163163,NEW
C009023290,C1937962514,NEW
C009037538,C2006206648,ESTABLISHED
C009035209,C801142660,NEW
C009020276,C131837504,NEW
C009012741,C1464835638,RECURRING
C009004795,C1589547066,NEW
C009007398,C905650857,ESTABLISHED
C009011371,C2043975568,NEW
C009019454,C1933965693,RECURRING
C009013837,C292665982,NEW
C009007535,C300836639,NEW
C009026852,C81639848,ESTABLISHED
C009018084,C968448640,ESTABLISHED
C009034798,C908043384,RECURRING
C009004521,C794358930,RECURRING
C009003014,C1459757869,NEW
C009008631,C448070390,NEW
C009016714,C1886938557,RECURRING
C009014111,C597190999,RECURRING
C009001096,C1849933855,RECURRING
C009032469,C67985650,NEW
C009029318,C391903689,RECURRING
C009001370,C1590550415,ESTABLISHED
C009036168,C1750563752,RECURRING
C009006713,C1076835071,NEW
C009015892,C1653433120,NEW
C009032332,C2118255842,NEW
C009038771,C1047634424,NEW
C009020550,C1641587857,NEW
C009000685,C1007251739,NEW
C009003014,C488044861,RECURRING
C009012741,C662045021,NEW
C009006302,C1123629720,NEW
C009021372,C1327907419,ESTABLISHED
C009005206,C158424358,ESTABLISHED
C009004110,C1209271652,NEW
C009018906,C1022680775,RECURRING
C009038223,C42158278,RECURRING
C009039045,C1450133081,NEW
C009036853,C1877453512,NEW
C009004384,C1963862935,RECURRING
C009004932,C701279123,ESTABLISHED
C009008220,C1846735756,NEW
C009039593,C1852606548,NEW
C009008905,C1032986144,RECURRING
C009005617,C85777802,ESTABLISHED
C009000822,C796774130,RECURRING
C009034935,C1498438472,ESTABLISHED
C009027674,C564160838,NEW
C009019591,C1381128261,NEW
C009005480,C905650857,RECURRING
C009006713,C54617902,ESTABLISHED
C009039593,C1413871034,NEW
C009030140,C1183572822,ESTABLISHED
C009017125,C413177525,NEW
C009032332,C1712003741,RECURRING
C009034798,C202149782,RECURRING
C009038086,C127252077,NEW
C009038771,C1814361629,NEW
C009033291,C1975607158,NEW
C009022331,C153950082,ESTABLISHED
C009038908,C1058634310,RECURRING
C009022879,C1071364078,NEW
C009028633,C128846374,RECURRING
C009012878,C1654056127,NEW
C009028633,C1750563752,NEW
C009019180,C1291286504,NEW
C009024249,C1888703417,NEW
C009038497,C853932876,NEW
C009002329,C36856762,NEW
C009011508,C1452722471,ESTABLISHED
C009039182,C1428469551,ESTABLISHED
C009020276,C1018298342,NEW
C009023975,C1531812826,RECURRING
C009024386,C265108079,RECURRING
C009024660,C564742142,NEW
C009018769,C1909504164,NEW
C009037401,C728885526,NEW
C009029318,C990398217,NEW
C009025482,C1327907419,RECURRING
C009003014,C860798122,NEW
C009024112,C801197928,NEW
C009018358,C1670989986,NEW
C009026852,C1636786811,ESTABLISHED
C009002466,C83980058,NEW
C009035757,C885951223,NEW
C009024660,C270095066,NEW
C009011645,C1662235713,NEW
C009003973,C404279307,ESTABLISHED
C009034387,C1963862935,NEW
C009010412,C566698125,NEW
C009004247,C1577826863,NEW
C009006576,C840027268,ESTABLISHED
C009013563,C414386513,NEW
C009020550,C361843637,ESTABLISHED
C009031373,C1122805102,NEW
C009014659,C1967017653,NEW
C009010275,C1778289781,ESTABLISHED
C009003151,C814473635,NEW
C009027948,C357863579,NEW
C009029866,C1094528209,ESTABLISHED
C009002192,C347696158,ESTABLISHED
C009008220,C2066777507,NEW
C009018358,C505973878,NEW
C009027400,C985934102,NEW
C009015755,C1615535645,NEW
C009009590,C313124964,NEW
C009040689,C676931970,NEW
C009008220,C1122118227,NEW
C009015618,C1434590943,NEW
C009017536,C158424358,NEW
C009032880,C2034460325,NEW
C009011782,C1654056127,RECURRING
C009028085,C786116491,NEW
C009015892,C769342184,NEW
C009032469,C257999182,RECURRING
C009021783,C812586739,NEW
C009012056,C644345897,NEW
C009026578,C1137422246,NEW
C009017262,C1027296777,NEW
C009015344,C1129670968,NEW
C009003973,C1892646174,NEW
C009003836,C997608398,RECURRING
C009013974,C715819458,ESTABLISHED
C009021098,C1413871034,RECURRING
C009006028,C1635341595,NEW
C009030551,C107095723,RECURRING
C009016303,C1069568462,ESTABLISHED
C009022879,C473344802,ESTABLISHED
C009037264,C597190999,NEW
C009026578,C1956477953,NEW
C009007124,C1360913629,RECURRING
C009011371,C301749835,RECURRING
C009018221,C2050019814,NEW
C009020139,C1870367457,RECURRING
C009003425,C894315519,NEW
C009039319,C413177525,NEW
C009015207,C995911260,ESTABLISHED
C009011782,C243745864,NEW
C009020961,C1463758439,NEW
C009026715,C1632716597,NEW
C009038771,C1694262384,NEW
C009019043,C1207178960,NEW
C009028359,C1059781259,ESTABLISHED
C009017125,C265108079,NEW
C009029866,C449261773,NEW
C009037264,C1076835071,NEW
C009017536,C1759482496,NEW
C009008905,C43924520,RECURRING
C009005206,C1256728724,NEW
C009019728,C1955948959,ESTABLISHED
C009022742,C753282599,NEW
C009028222,C1359953204,RECURRING
C009035894,C1479553213,NEW
C009021783,C705487682,NEW
C009003562,C1653433120,RECURRING
C009006850,C410033330,NEW
C009022605,C1432687668,ESTABLISHED
C009014796,C1877453512,ESTABLISHED
C009010412,C433115563,RECURRING
C009006850,C716157500,NEW
C009035072,C1641587857,RECURRING
C009040278,C611572016,NEW
C009011234,C927008541,ESTABLISHED
C009035483,C945327594,NEW
C009016166,C304528024,NEW
C009026030,C1122805102,NEW
C009009042,C1059781259,RECURRING
C009012604,C1335050193,NEW
C009022468,C2050019814,NEW
C009018769,C619120762,NEW
C009024797,C162114152,NEW
C009033017,C72565662,NEW
C009013700,C944455655,NEW
C009033154,C1387567249,NEW
C009027537,C18996450,NEW
C009021235,C1095666481,ESTABLISHED
C009034661,C542766981,NEW
C009026578,C1453795463,NEW
C009006576,C1060563153,RECURRING
C009029729,C1249547869,RECURRING
C009017673,C12793273,RECURRING
C009004384,C1877453512,NEW
C009036305,C506903242,RECURRING
C009002055,C1505755152,NEW
C009006987,C54617902,NEW
C009020413,C1003872245,RECURRING
C009034935,C1219161283,RECURRING
C009028907,C1299829127,NEW
C009033839,C5592464,NEW
C009014248,C911998047,NEW
C009034661,C433115563,NEW
C009014385,C1728766751,NEW
C009002055,C507046070,RECURRING
C009030825,C1213257323,NEW
C009019180,C676931970,NEW
C009025345,C1852606548,NEW
C009033291,C177368500,NEW
C009015070,C1381128261,NEW
C009013563,C1560607671,NEW
C009020961,C619120762,RECURRING
C009006165,C697172013,ESTABLISHED
C009040415,C863811613,NEW
C009016988,C1629687658,ESTABLISHED
C009033839,C673068808,NEW
C009025208,C424743902,ESTABLISHED
C009029455,C985934102,RECURRING
C009035894,C1882860489,NEW
C009011371,C672137778,RECURRING
C009030003,C1254526270,NEW
C009040963,C347696158,NEW
C009015070,C1823014131,NEW
C009027263,C1935365522,NEW
C009000822,C1577253667,ESTABLISHED
C009033428,C157316544,ESTABLISHED
C009034798,C306206744,NEW
C009003562,C573200870,ESTABLISHED
C009017673,C5592464,NEW
C009011645,C875917495,NEW
C009010549,C361268035,NEW
C009017125,C131837504,NEW
C009015618,C507538622,NEW
C009025345,C1924259657,NEW
C009001644,C749524318,NEW
C009020413,C270095066,NEW
C009040278,C1475909248,NEW
C009030551,C619120762,RECURRING
C009036442,C1357984916,ESTABLISHED
C009024660,C814473635,RECURRING
C009004795,C716157500,NEW
C009032606,C1060041730,NEW
C009013563,C1440282299,NEW
C009008631,C1071364078,NEW
C009027400,C2096057945,RECURRING
C009024797,C24119573,NEW
C009035620,C35126588,RECURRING
C009016029,C476402209,NEW
C009008083,C1672788422,NEW
C009030003,C1774531247,NEW
C009032606,C1095575585,ESTABLISHED
C009035483,C304406966,NEW
C009037127,C267527788,NEW
C009031373,C127252077,NEW
C009011508,C1060830840,RECURRING
C009033154,C1632716597,NEW
C009038223,C317071334,RECURRING
C009034113,C656977363,RECURRING
C009013015,C590842329,RECURRING
C009033976,C967643830,ESTABLISHED
C009039319,C1274461229,RECURRING
C009023838,C214774813,NEW
C009030003,C63387985,NEW
C009007124,C486371171,NEW
C009002603,C1674899618,NEW
C009033702,C1396827930,ESTABLISHED
C009017673,C715819458,NEW
C009006302,C1151964959,NEW
C009002740,C1163619825,RECURRING
C009034798,C891020651,NEW
C009023838,C837659261,NEW
C009009179,C1382394077,RECURRING
C009010001,C656977363,NEW
C009008494,C683605346,ESTABLISHED
C009019180,C90250170,RECURRING
C009017947,C1120735174,NEW
C009029181,C510382951,NEW
C009016988,C1222590577,NEW
C009012741,C1556995360,NEW
C009003288,C1007717381,NEW
C009022194,C1463758439,NEW
C009013015,C1997859171,NEW
C009005754,C490150701,NEW
C009005617,C461905695,ESTABLISHED
C009037949,C832279283,NEW
C009033565,C1284149862,NEW
C009026715,C93518808,NEW
C009012193,C1931283804,NEW
C009039730,C391903689,NEW
C009028359,C1479553213,NEW
C009030140,C339924917,NEW
C009013152,C1397088232,RECURRING
C009025756,C931482420,NEW
C009022194,C1139794020,NEW
C009001233,C1354952534,NEW
C009038360,C1335050193,NEW
C009031647,C2118255842,NEW
C009026304,C1245442940,ESTABLISHED
C009026852,C316486913,NEW
C009038497,C709091500,NEW
C009034250,C345679794,NEW
C009022468,C1458849419,RECURRING
C009034661,C40075281,NEW
C009022605,C1554565380,NEW
C009025071,C75483598,NEW
C009029866,C1297685781,NEW
C009034250,C270095066,NEW
C009003699,C370034120,NEW
C009038634,C1256728724,NEW
C009038771,C97730845,NEW
C009012604,C81639848,RECURRING
C009030003,C1219161283,NEW
C009031647,C1129670968,NEW
C009004795,C1343642221,NEW
C009009590,C631424220,ESTABLISHED
C009009316,C1398530689,NEW
C009038497,C490150701,NEW
C009016440,C1198167820,NEW
C009009864,C1321530272,RECURRING
C009033291,C1653844940,NEW
C009030551,C187019413,NEW
C009040552,C925936450,NEW
C009035209,C312362475,ESTABLISHED
C009035757,C1459693562,RECURRING
C009034250,C304528024,RECURRING
C009023153,C465499079,NEW
C009017125,C1786758337,NEW
C009010686,C1397088232,NEW
C009010412,C1838584624,RECURRING
C009027811,C1200612373,NEW
C009038086,C7313260,NEW
C009034250,C1829344035,NEW
C009013015,C837659261,NEW
C009016851,C1750905143,NEW
C009017399,C451934410,NEW
C009017399,C1850180796,ESTABLISHED
C009014659,C1163619825,NEW
C009037812,C193625667,ESTABLISHED
C009010138,C1359953204,NEW
C009024797,C1353512285,NEW
C009008494,C1922859107,NEW
C009005480,C1222590577,NEW
C009021372,C1590550415,NEW
C009019043,C1789550256,NEW
C009026441,C789698697,NEW
C009010001,C775514090,RECURRING
C009034524,C929452805,NEW
C009001096,C929856893,NEW
C009033291,C929452805,NEW
C009020961,C481402298,NEW
C009032606,C347725669,NEW
C009014111,C1282788025,NEW
C009010412,C1540270363,NEW
C009011919,C1651379334,NEW
C009015481,C451934410,ESTABLISHED
C009039593,C36437323,NEW
C009029729,C399685190,NEW
C009020002,C935808590,NEW
C009001096,C1653433120,NEW
C009004795,C1540270363,RECURRING
C009003425,C1240730624,NEW
C009033017,C1183572822,NEW
C009012467,C741431520,NEW
C009039456,C2020152163,NEW
C009033017,C1062254208,NEW
C009006850,C1991252420,NEW
C009001918,C667346055,NEW
C009034524,C1085479446,NEW
C009012604,C501170909,NEW
C009009316,C1017997535,NEW
C009002740,C728526866,NEW
C009007809,C1629911510,RECURRING
C009031921,C1146719991,RECURRING
C009012056,C365212068,NEW
C009000685,C778731861,NEW
C009025208,C75483598,NEW
C009012878,C1577253667,NEW
C009020139,C1440325059,NEW
C009024112,C289039926,RECURRING
C009016440,C611572016,NEW
C009033017,C1345063038,NEW
C009015481,C2081595126,RECURRING
C009034387,C1892646174,NEW
C009036031,C424743902,RECURRING
C009021509,C870563118,NEW
C009006713,C1067936865,NEW
C009037675,C1454226183,ESTABLISHED
C009030003,C1346667529,ESTABLISHED
C009029455,C1266035080,NEW
C009021235,C1237401293,NEW
C009021372,C517653428,NEW
C009012604,C1032986144,NEW
C009024523,C767904468,NEW
C009039182,C1520366382,NEW
C009006987,C131837504,NEW
C009019591,C9108707,NEW
C009027948,C1060041730,NEW
C009019043,C2011996123,NEW
C009003562,C757108857,NEW
C009028907,C465499079,NEW
C009030414,C1286084959,NEW
C009033565,C740950652,NEW
C009027400,C1259769769,NEW
C009015207,C361843637,NEW
C009030962,C651445737,NEW
C009026989,C614685048,NEW
C009027126,C644345897,NEW
C009037675,C407757655,NEW
C009021509,C146305349,RECURRING
C009039319,C506903242,NEW
C009022742,C11003494,RECURRING
C009007672,C240650537,NEW
C009006028,C1668376627,NEW
C009035209,C488044861,RECURRING
C009033291,C978609035,ESTABLISHED
C009017810,C1336996537,NEW
C009007398,C101601906,NEW
C009035757,C1897050650,NEW
C009023701,C404923931,NEW
C009036442,C1820528317,NEW
C009039867,C11003494,NEW
C009039319,C465499079,NEW
C009037812,C1292838001,NEW
C009016714,C683605346,NEW
C009010138,C1453128758,NEW
C009012193,C1479450980,NEW
C009023290,C757108857,NEW
C009023975,C667346055,NEW
C009039045,C1733439693,ESTABLISHED
C009015344,C154319946,NEW
C009000548,C1482979717,NEW
C009018906,C283747838,NEW
C009040415,C905650857,NEW
C009007535,C529351377,NEW
